samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-T6MN-0726-SM-32PML,7.5187,5.2212,8.8642,11.124,8.7949,8.8907,3.8904,2.8177,,,TCGA-BH-A0DD-11,7.814,4.9393,8.8946,10.7361,6.3329,9.2829,3.8508,4.1089
GTEX-13NZB-2126-SM-5MR4Y,6.4226,3.6131,7.7787,11.4458,8.8407,8.8153,3.4873,1.6054,,,TCGA-AC-A23H-11,6.227,5.9404,9.2548,10.4021,8.4446,9.5744,4.9337,4.4307
GTEX-ZU9S-1926-SM-5NQBP,6.749,4.5146,8.6103,11.1249,9.4899,9.4063,2.4734,2.2151,,,TCGA-BH-A1F8-11,7.5763,6.5607,9.3414,10.6755,8.1237,9.4843,5.0211,5.0211
GTEX-11DXW-0626-SM-5N9ER,6.8954,4.4216,8.6861,11.0941,9.317,8.5815,5.1314,3.7533,,,TCGA-BH-A18N-11,6.7775,5.3445,9.2558,10.7212,7.987,9.4815,3.3304,2.7359
GTEX-UPK5-2326-SM-3P5Z8,5.9774,4.2184,8.496,11.4375,9.0011,9.4096,3.1294,1.933,,,TCGA-BH-A1FG-11,4.4578,5.4655,8.7902,9.7591,9.2477,10.0515,4.3745,4.2396
GTEX-VUSG-2226-SM-4KKZO,7.0033,5.1792,8.9223,11.676,9.5701,9.2423,4.7007,2.7404,,,TCGA-AC-A2FM-11,7.2296,4.8158,8.0329,11.2152,7.9439,9.2954,2.8713,1.8184
GTEX-ZVTK-0326-SM-51MRR,6.3848,3.0138,8.0637,10.9591,9.0199,8.8778,2.5155,1.748,,,TCGA-BH-A1EU-11,5.8428,5.6538,9.3455,10.5589,8.6021,9.6521,3.1789,3.331
GTEX-14ABY-2126-SM-5QGQZ,7.0974,4.6906,7.2508,11.4974,8.6157,8.7635,1.7502,1.1257,,,TCGA-BH-A0HK-11,6.3681,5.3568,8.8787,10.4799,7.7082,9.5805,2.6952,2.8123
GTEX-R55F-1726-SM-2TF4R,5.9583,2.8314,8.5286,10.7472,9.2515,8.8526,1.7854,2.2236,,,TCGA-BH-A1F0-11,6.1983,4.9446,9.1077,10.5786,8.038,9.8525,3.8943,2.2003
GTEX-U3ZH-1426-SM-4DXSR,6.2479,3.3956,8.6389,11.0013,9.0762,8.9514,3.8171,2.5265,,,TCGA-BH-A204-11,6.3847,4.2796,9.0841,10.7819,6.8709,9.7586,3.5749,3.1997
GTEX-13CF2-2026-SM-5K7VI,6.7558,2.1431,8.4818,11.2844,8.7166,8.802,1.0969,1.0969,,,TCGA-A7-A0CH-11,7.5777,5.5468,8.8462,10.5463,7.29,9.1739,4.8943,3.7973
GTEX-QEL4-2126-SM-447AE,6.2266,3.4274,8.4083,11.697,9.0693,9.2933,2.7172,0,,,TCGA-A7-A13G-11,5.1343,3.8999,8.6664,10.5517,7.0077,9.4191,2.7161,0.7625
