samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
GTEX-13FHP-2426-SM-5KLZ5,6.5852,5.2942,7.8115,11.1564,9.1632,8.9046,4.2884,4.9054,,,TCGA-AA-3525-11,8.5626,10.2104,9.5388,11.3719,8.4446,8.2466,6.7158,8.8048,,,,,,
GTEX-11ONC-2026-SM-5HL61,6.4496,5.7495,8.1179,11.1463,9.1574,8.4959,2.8875,4.0875,,,TCGA-A6-2671-11,8.2082,9.2395,8.8429,11.2666,7.4718,8.2676,5.1385,7.5235,,,,,,
GTEX-ZYFC-2626-SM-5NQ6S,7.0102,3.5028,8.1755,11.1268,9.4727,9.1204,0,3.3282,,,TCGA-A6-5659-11,7.599,9.3686,9.186,10.8894,8.4419,8.2929,5.6315,7.1829,,,,,,
GTEX-12KS4-2426-SM-5LU8P,8.0541,8.3499,8.625,11.0319,9.2614,8.5494,6.5712,8.3016,,,TCGA-A6-2675-11,8.0069,8.8568,8.9738,11.2944,7.5381,8.6164,5.6674,7.5117,,,,,,
GTEX-111VG-2226-SM-5N9DU,6.5204,4.5072,8.3019,10.9913,8.6379,9.0497,1.1883,5.2512,,,TCGA-AA-3697-11,9.0464,10.458,9.2472,11.5789,7.6454,8.6201,6.9463,8.992,,,,,,
GTEX-147JS-2526-SM-5S2Q8,6.7906,5.4133,8.3164,11.1839,9.4136,8.4263,2.8689,5.3699,,,TCGA-AZ-6605-11,6.4923,6.7658,8.2465,11.0678,7.5908,9.1767,3.9853,4.9848,,,,,,
GTEX-XMK1-1726-SM-4B64Z,9.2173,10.4256,9.9073,11.997,8.1853,8.7627,7.7247,9.2255,,,TCGA-AA-3489-11,8.5452,8.9551,8.7787,11.3302,8.5737,8.759,6.3423,7.6837,,,,,,
GTEX-Z93S-2426-SM-5HL8N,6.4968,3.2056,8.732,11.1977,8.6058,9.15,1.1211,2.178,,,TCGA-AZ-6599-11,8.5992,10.0628,9.4681,11.2722,7.9431,8.1807,7.129,8.6802,,,,,,
GTEX-Y8E4-2426-SM-4WWDN,7.2705,9.002,8.9921,11.6226,8.3327,9.1334,5.2211,7.0202,,,TCGA-A6-2682-11,8.4341,9.6354,9.3609,11.4997,8.3571,8.4373,5.9848,8.4049,,,,,,
GTEX-ZAB4-2226-SM-5HL97,7.0667,6.9893,8.4616,11.1395,8.8075,8.7357,4.7121,6.3369,,,TCGA-AA-3655-11,7.8604,9.4505,8.6369,11.3697,8.1128,8.5245,5.9416,8.1262,,,,,,
GTEX-11O72-2226-SM-5PNW2,5.8357,3.7031,8.3172,10.9568,9.4034,8.9599,1.224,2.6654,,,TCGA-AA-3713-11,8.5617,9.5124,8.6674,11.7223,8.3622,8.7572,6.7203,8.2265,,,,,,
GTEX-OXRL-1426-SM-3NM9E,6.8937,5.3733,8.3349,11.4422,8.2763,9.5449,1.4443,3.9664,,,TCGA-AZ-6601-11,8.4865,9.808,9.5143,11.3365,7.8212,8.4123,6.1938,8.7088,,,,,,
GTEX-11NSD-1626-SM-5986U,7.1478,8.3002,9.0257,11.3966,8.887,9.0331,5.5023,6.3774,,,TCGA-AA-3522-11,8.7461,9.8013,9.0723,11.3888,7.5948,8.4056,7.1554,8.9484,,,,,,
GTEX-ZVP2-1526-SM-5NQ82,8.4877,10.0642,9.7296,11.8321,8.9328,8.8519,6.4997,8.1189,,,TCGA-AA-3712-11,8.3101,9.4536,9.1717,11.6299,8.1298,8.6536,6.0023,7.9404,,,,,,
GTEX-117YX-0826-SM-5H11J,6.5414,3.2291,8.728,11.5623,7.321,9.5386,2.3753,3.3819,,,TCGA-AA-3511-11,9.2198,9.9041,9.3805,11.4975,8.7262,8.3843,7.1057,8.786,,,,,,
