samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-13VXU-1126-SM-5LU3U,6.5898,1.7333,7.8672,11.0851,9.2927,8.8351,1.7333,0,,,TCGA-L5-A4OR-11,7.9848,5.8426,7.9848,10.7605,8.1686,8.8102,4.4688,7.492
GTEX-11O72-2026-SM-5N9G8,7.0048,2.678,8.198,11.3385,9.7107,9.2811,1.6598,2.084,,,TCGA-L5-A43C-11,7.3653,4.5706,7.8652,10.8785,8.7747,9.2014,3.1022,5.6746
GTEX-ZYFC-2226-SM-5NQ96,6.6944,3.255,7.8297,11.1111,9.4725,8.8711,2.3988,0,,,TCGA-L5-A4OO-11,7.2951,4.5418,8.5248,11.0505,7.6146,9.5133,3.538,6.4775
GTEX-145MF-1526-SM-5LU95,7.204,3.1563,7.8489,11.2474,9.1664,9.0347,2.3097,1.8633,,,TCGA-L5-A4OQ-11,7.082,5.044,9.9885,11.1772,7.9018,9.6168,5.0697,4.9913
GTEX-13OW6-1626-SM-5IJD5,6.9297,2.594,7.3967,11.0104,9.2704,9.1003,1.176,0,,,TCGA-V5-AASX-11,9.6096,9.6501,10.0153,11.475,9.0289,9.3528,7.6936,10.4478
GTEX-11DXY-1326-SM-5987Z,6.6959,1.9309,7.7084,11.1818,9.2509,8.9987,1.2669,1.2669,,,TCGA-L5-A4OF-11,9.5192,9.2358,9.4899,11.1339,8.1689,9.1357,8.7558,10.1258
GTEX-132NY-2026-SM-5L3FM,7.0307,1.8565,7.6071,11.2932,8.9105,8.5789,1.2083,1.2083,,,TCGA-IC-A6RE-11,8.3495,10.4926,8.7587,11.2257,7.7141,8.3111,7.2462,8.8651
GTEX-Y5V6-1226-SM-4VDTE,6.3079,5.1264,8.6427,11.215,7.3371,9.4921,0.9579,4.2409,,,TCGA-V5-A7RE-11,9.8858,10.4092,11.2006,13.4098,10.3594,10.4834,9.3798,12.0225
GTEX-X585-1426-SM-4E3JO,5.0156,3.3791,7.976,11.3977,9.0876,9.2272,3.2264,1.6276,,,TCGA-L5-A4OG-11,7.2479,6.7142,8.585,11.1163,8.5386,9.0455,5.2479,7.8329
GTEX-VUSG-1026-SM-4KKZN,7.3361,3.5144,8.3223,11.8605,9.1346,9.5033,3.9633,2.6355,,,TCGA-L5-A4OJ-11,8.3146,6.5133,8.7699,10.9761,8.6641,9.4405,7.8404,8.1999
GTEX-13OW7-1926-SM-5LUB4,6.9083,2.9864,8.0069,11.1315,9.0746,9.0396,1.9146,0,,,TCGA-IC-A6RF-11,8.664,8.5394,9.061,11.8793,8.012,9.1239,8.1145,7.5321
GTEX-WZTO-1726-SM-4PQYV,6.8867,3.0392,8.7562,11.0114,9.0383,8.8495,3.5644,1.4881,,,TCGA-L5-A4OM-11,8.4785,8.3479,9.1373,11.5102,8.0549,8.9682,8.054,9.0466
GTEX-11DYG-1926-SM-5H12I,7.2232,3.7186,8.3693,11.3568,9.0505,9.3644,3.7186,0,,,TCGA-IG-A3I8-11,6.4353,1.7624,8.8485,11.0614,6.9236,9.7867,2.9222,1.4826
GTEX-13OW8-2426-SM-5L3ID,6.6782,2.3855,7.2717,11.0291,8.4846,9.2447,0,0,,,TCGA-L5-A43J-01,9.0024,6.9556,9.1107,12.4024,8.9575,9.1875,10.1842,8.3569
GTEX-14E7W-1926-SM-5S2R9,6.8325,1.3862,7.0414,11.0792,9.3849,8.8047,2.8983,2.5464,,,TCGA-L5-A88T-01,8.874,9.9379,9.4237,11.6129,8.0923,8.8809,8.2085,8.9841
