samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-1399R-1226-SM-5P9GF,6.2357,5.3485,8.5273,10.6745,7.6116,8.4763,4.244,5.3024,,,TCGA-DD-A39V-11,5.7575,2.4396,7.8706,9.7447,6.8849,8.4776,1.9818,1.3074
GTEX-YECK-1926-SM-4W21H,5.503,4.6603,6.6476,10.8835,8.6933,9.447,2.0593,3.6571,,,TCGA-BC-A10T-11,4.1828,2.5059,8.2087,9.7596,7.0116,8.9207,2.5059,0
GTEX-13FTZ-0726-SM-5IFFY,6.1709,4.0863,8.6903,10.6923,8.4635,9.3546,2.6619,2.1866,,,TCGA-BC-A10Y-11,3.9979,3.1802,7.9313,10.0464,6.7332,8.901,1.1057,2.4876
GTEX-11NUK-1226-SM-5P9GM,5.4273,4.2105,6.6304,10.5525,8.5731,9.216,2.1708,3.001,,,TCGA-DD-A1EG-11,5.5721,3.58,8.875,10.371,6.574,8.7358,3.2046,4.1242
GTEX-1399T-0826-SM-5IFES,6.2375,3.6831,8.5309,10.5958,8.2746,9.1738,2.6031,1.4287,,,TCGA-DD-A3A8-11,7.4505,3.1316,7.3715,9.6111,5.6233,7.8794,2.0376,2.8502
GTEX-ZAB5-0426-SM-5CVMI,3.9465,4.106,8.0051,10.674,8.2219,9.1515,3.0372,2.203,,,TCGA-FV-A2QR-11,5.6176,3.4898,9.0019,10.2305,7.1636,9.0367,2.836,3.6156
GTEX-T6MN-1226-SM-3NMA5,6.0425,4.5007,7.6687,11.0244,8.8048,8.8886,3.1257,3.1257,,,TCGA-FV-A3R2-11,5.9502,3.7187,7.9326,10.0556,6.7628,8.6218,3.4239,2.5524
GTEX-139TS-1426-SM-5IFJD,5.7462,3.6887,8.6931,10.7586,8.7631,9.1117,1.4325,1.4325,,,TCGA-DD-A11B-11,7.2932,3.806,8.2184,9.5157,6.0114,7.7439,3.074,3.9857
GTEX-11WQC-0726-SM-5EQMR,5.5377,3.7266,8.1685,11.0402,8.5356,9.3968,2.6427,3.7266,,,TCGA-DD-A1EE-11,4.7074,3.466,8.9759,9.8173,6.8967,8.1502,3.6696,2.591
GTEX-SJXC-1226-SM-4DM78,4.5973,2.8736,7.3339,10.5758,8.2633,9.0118,1.6368,1.6368,,,TCGA-EP-A3RK-11,6.6543,2.9865,7.3735,9.5218,6.6047,8.2948,2.9865,3.419
GTEX-13VXU-0926-SM-5IFFH,5.205,4.1495,7.0244,10.4616,8.4223,8.8085,3.4018,0,,,TCGA-EP-A26S-11,2.706,2.706,7.7654,9.6175,6.1041,8.1092,0,0
