samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-S33H-0626-SM-2XCBJ,8.3032,7.2702,9.0837,11.6015,8.5798,9.3182,5.8592,5.2774,,,TCGA-43-6771-11,7.618,5.8958,9.8832,11.5023,8.0799,9.5797,4.1645,3.5414
GTEX-WZTO-0426-SM-3NM99,8.629,5.4219,9.155,11.3405,9.8764,9.3658,5.2157,3.2577,,,TCGA-56-7580-11,8.2027,6.6963,8.8817,10.8637,8.0826,8.9351,5.1918,5.5571
GTEX-U3ZH-0526-SM-3DB75,6.83,6.441,8.794,11.2256,9.3503,8.7679,3.9943,4.9129,,,TCGA-56-7582-11,7.6313,5.8292,9.0987,11.1022,7.9651,9.0083,5.3297,5.099
GTEX-11NUK-0826-SM-5HL4U,8.5013,6.8941,9.3821,11.2704,8.752,8.1462,5.8445,5.1242,,,TCGA-22-4609-11,6.6252,4.4699,8.7642,10.8284,7.8365,9.4091,2.972,2.8527
GTEX-145MH-0626-SM-5NQAK,6.9745,5.0194,7.6748,11.4084,8.8211,8.5206,6.7947,6.3144,,,TCGA-22-5482-11,7.8559,5.9461,8.9784,11.173,7.3703,8.8632,5.3983,5.1511
GTEX-13OVL-0626-SM-5KM13,6.6438,6.0966,8.0498,11.1689,8.3846,8.7577,4.3982,3.9399,,,TCGA-22-5478-11,7.8847,5.2605,8.6035,10.9695,7.5015,8.9973,3.8782,4.011
GTEX-ZYW4-1526-SM-5SIBA,6.5599,5.4651,9.7903,11.3369,8.6117,9.0231,3.3695,3.5238,,,TCGA-22-4593-11,8.7072,5.7266,9.4942,11.2687,7.8867,9.3528,3.1797,3.6604
GTEX-12ZZY-0926-SM-5EQ6I,6.5701,5.1862,8.1573,11.188,8.989,8.9456,4.0766,3.9683,,,TCGA-43-6773-11,7.4435,5.9343,9.5101,11.0755,7.3535,8.9355,5.2048,5.5996
GTEX-YECK-0926-SM-4W214,7.578,4.8909,9.208,11.3719,9.5963,8.741,6.0394,5.8399,,,TCGA-22-5471-11,8.1535,4.4575,8.5028,10.9101,7.7742,8.6671,4.834,4.4575
GTEX-PVOW-1026-SM-5O9B9,6.9104,5.1864,8.4494,11.3351,8.6625,8.907,3.7132,3.3673,,,TCGA-58-8386-11,8.0888,6.1046,9.0887,11.0318,8.3735,8.7981,5.1835,5.2929
GTEX-13FTZ-0526-SM-5IJCW,6.8105,6.1181,8.2313,11.1608,8.3038,8.7689,4.9801,4.6696,,,TCGA-22-5483-11,9.1471,7.3886,9.1767,10.9253,7.7022,9.051,5.3662,5.745
GTEX-ZF28-0726-SM-4WKFU,7.0951,5.2868,9.1954,11.759,9.0842,8.873,4.9257,3.8906,,,TCGA-22-5491-11,7.6398,5.3662,7.9962,11.0403,7.5508,8.9419,1.6942,3.0473
GTEX-12WSE-0826-SM-5S2VL,6.8826,5.7537,7.943,11.3434,8.6455,8.3845,5.0981,4.3719,,,TCGA-56-8201-11,8.1448,4.9091,8.795,11.036,7.3735,8.8578,4.495,3.9121
GTEX-11PRG-0926-SM-5EGI8,8.788,7.5239,8.8119,11.2755,8.5737,9.0704,5.9354,4.5306,,,TCGA-56-7730-11,8.2666,5.2576,8.8788,11.2842,8.4191,9.1894,4.1706,4.5153
GTEX-111VG-0726-SM-5GIDC,5.8936,5.4124,9.7923,11.211,9.5166,9.2549,5.9206,6.5418,,,TCGA-33-6737-11,7.5192,5.7658,8.2973,10.9361,7.4987,8.8689,4.3246,4.6625
GTEX-117YW-0526-SM-5H11C,7.2267,7.3645,9.847,11.0642,9.7736,8.6667,5.4367,5.608,,,TCGA-56-8623-11,8.214,5.5896,8.8893,11.165,7.8093,8.785,5.3803,5.4081
GTEX-13G51-0426-SM-5K7Z5,7.052,5.8041,9.442,11.2512,8.72,9.0631,4.1895,2.5119,,,TCGA-34-7107-11,7.5137,6.708,9.177,11.1213,7.526,8.7957,5.4262,5.1891
GTEX-13S86-0626-SM-5Q5E7,7.8433,8.4168,9.1308,12.0536,9.1194,9.7482,4.2322,4.2989,,,TCGA-43-5670-11,7.4306,5.2148,9.3428,11.0166,8.0591,9.3637,6.5344,5.7511
