,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-S4UY-1026-SM-4AD53,7.2726,8.1985,8.3342,11.4457,7.9187,9.4318,6.4587,6.6162,,,,TCGA-29-2414-02,10.5008,7.9874,10.6901,11.4034,9.2782,9.4817,8.6883,8.5356
GTEX-P78B-1926-SM-3P616,7.0459,3.1659,7.2446,11.2814,9.2524,9.5262,3.7447,1.8712,,,,TCGA-13-1489-02,10.8656,8.1752,9.1243,11.282,10.5997,9.6747,7.259,8.9088
GTEX-P4PP-2426-SM-3P61L,7.9053,2.4606,7.6956,11.3612,8.8258,9.6781,2.4606,1.8886,,,,TCGA-23-1023-01,10.68549258,8.262199901,10.49830458,11.1269486,10.82861499,9.348327523,5.835390087,8.91531418
GTEX-12WSB-2226-SM-5GCOS,7.6343,0,5.4656,11.1132,10.0063,9.0658,3.2181,0,,,,TCGA-29-1770-02,11.2823,9.3437,10.71,12.23,10.1738,9.4016,7.5725,8.597
GTEX-XYKS-1726-SM-4E3IO,7.8659,3.8441,6.8465,12.0243,9.3,9.9248,2.3536,1.6114,,,,TCGA-13-0913-02,9.4405,7.3228,8.0562,11.6698,8.868,9.5551,5.2692,7.8643
GTEX-11DXX-1426-SM-5GIDU,8.2632,5.3865,8.2911,11.5814,8.5076,9.8212,5.0628,3.407,,,,TCGA-29-1705-02,10.7717,8.0427,8.7031,10.7954,7.9123,8.7424,6.6001,8.0277
GTEX-131YS-2226-SM-5P9G8,7.9599,1.0752,6.027,11.3707,10.1733,9.2009,2.934,0,,,,TCGA-29-1707-02,9.722,8.8368,10.3566,12.7797,9.9179,9.9105,8.6011,9.6484
GTEX-13QIC-1526-SM-5IJFL,7.8957,1.1165,6.3711,11.0023,9.939,9.3429,1.1165,0,,,,TCGA-61-2008-02,11.1753,9.3993,10.0063,11.3842,10.3049,8.9449,9.2876,9.9054
GTEX-ZP4G-0626-SM-4WWF1,8.1594,2.1304,6.0266,11.6571,8.809,9.8453,2.4606,0,,,,TCGA-04-1365-01,11.4745,10.0455,10.6884,11.0307,10.4671,10.258,9.3244,9.9154
GTEX-YJ8O-1026-SM-5CVM5,7.8198,4.2963,6.6944,11.0773,9.6145,9.4983,5.121,2.7714,,,,TCGA-24-2033-01,10.6803,9.7258,10.7179,11.1659,10.5965,9.1038,7.4839,9.8098
GTEX-P4QT-2426-SM-3NMCL,8.8096,1.8758,7.6009,11.7162,9.1976,10.0262,1.8758,0,,,,TCGA-04-1341-01,11.7086,8.8196,9.5973,11.1888,9.6487,9.5406,7.6885,8.8714
GTEX-ZYFG-1726-SM-5GZZB,7.78,3.3157,7.2478,11.002,8.8343,9.3967,3.3157,1.1887,,,,TCGA-29-1702-01,11.4095,9.2327,10.4565,11.5437,10.58,10.4719,7.891,8.1028
GTEX-13VXT-1526-SM-5LU3J,7.533,4.4089,7.4685,11.8656,9.5892,9.5421,3.7165,2.3359,,,,TCGA-23-1116-01,10.8831,7.9766,9.6773,11.5983,10.703,9.1762,7.5815,8.8084
GTEX-ZC5H-2026-SM-5CVN2,6.8972,3.1648,7.064,11.2253,9.7274,8.9835,4.191,1.2191,,,,TCGA-36-1575-01,10.2703,9.5688,11.2777,10.9842,10.2985,11.5791,8.009,8.8068
GTEX-PWN1-2426-SM-48TDD,8.9274,4.2818,7.2272,11.8397,8.7398,9.9286,3.4383,2.838,,,,TCGA-24-1422-01,9.8765,7.8497,10.4985,11.0664,9.9508,9.3175,7.402,8.2879
GTEX-X15G-1726-SM-4PQZN,7.866,4.3764,6.3815,11.3355,9.0132,9.1022,3.8257,3.2075,,,,TCGA-29-1774-01,10.7509,8.0966,9.9527,12.838,10.8173,10.7379,8.0468,8.2801
GTEX-13O3O-2726-SM-5KM35,8.3302,0,6.5564,11.6894,9.7763,9.3505,1.5966,0,,,,TCGA-36-1580-01,9.3521,7.3058,10.4141,11.5537,10.0712,9.6047,6.0976,6.9394
GTEX-Y3IK-2026-SM-4YCDG,7.5717,1.6556,6.5793,11.1559,9.0799,9.5964,1.0533,1.0533,,,,TCGA-04-1347-01,11.0018,8.2748,10.2189,11.7318,9.2988,10.8541,7.3879,8.1737
