,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-13NZA-1726-SM-5J1NA,4.355,4.9163,8.9832,11.2247,8.8888,9.3359,2.2907,2.9658,,,TCGA-YB-A89D-11,7.2735,5.9427,9.5679,11.1594,7.3483,9.1633,5.3012,5.7805
GTEX-1399R-0426-SM-5IJE3,5.7031,2.2171,7.8283,11.1653,8.9547,9.1069,5.2287,1.4981,,,TCGA-HV-A5A3-11,7.1767,6.4221,9.1303,10.9247,8.4484,8.8615,5.2529,4.8704
GTEX-ZYT6-1326-SM-5E453,6.305,0,7.1524,11.3316,9.1231,9.4738,0,1.5154,,,TCGA-H6-A45N-11,8.6538,8.7639,10.277,11.8673,9.8089,9.0909,6.5791,7.5145
GTEX-131XE-1926-SM-5IFER,3.2684,2.1552,7.5105,11.057,9.3534,8.7343,3.8892,0,,,TCGA-H6-8124-11,6.6546,6.1821,9.4027,10.7933,7.8398,9.162,5.0431,4.732
GTEX-ZAB5-0826-SM-5P9FU,5.345,4.6881,7.4871,11.5223,9.3556,9.2104,5.9181,2.1056,,,TCGA-FB-AAQ6-01,8.2715,5.1572,9.6763,11.2378,8.5387,8.3594,5.9872,6.4885
GTEX-NPJ8-2126-SM-3MJGK,6.1605,4.3141,6.7216,11.7137,9.6518,9.1587,4.4027,2.594,,,TCGA-2L-AAQL-01,8.8352,6.1984,8.3662,10.781,7.2876,9.1041,4.8664,5.2564
GTEX-V1D1-0726-SM-4JBH7,6.7997,4.1977,8.2169,11.3602,9.3264,9.1276,6.1048,2.8697,,,TCGA-HZ-8005-01,8.6706,6.8575,10.2875,11.7184,8.4834,9.1746,8.5493,7.0031
GTEX-VUSG-0326-SM-3GIJ7,4.6625,0,7.0304,10.7594,9.2827,9.0657,5.3764,0,,,TCGA-HZ-A8P1-01,8.3133,5.798,10.2324,11.5924,8.7937,8.9822,6.3743,9.3504
GTEX-ZYW4-2126-SM-59HJ9,4.7901,1.688,6.5253,10.3004,9.0683,8.3932,4.0492,0,,,TCGA-IB-A7M4-01,8.4786,6.7806,9.9533,11.5556,9.2579,8.9257,6.9248,7.894
GTEX-VJYA-0826-SM-4KL1M,5.305,3.0599,7.4688,11.4308,8.8421,9.2001,4.2742,3.7912,,,TCGA-IB-7654-01,6.8325,6.4057,9.5881,10.931,8.0581,9.226,5.4674,6.0055
GTEX-XXEK-1726-SM-4BRVB,4.4794,1.6464,7.5086,11.0389,9.0803,9.0939,1.6464,0,,,TCGA-IB-7886-01,8.2256,7.224,9.6486,11.23,8.7396,9.0197,7.1724,6.366
GTEX-ZV7C-0726-SM-59HKH,4.7154,2.6815,7.6143,11.1813,8.5415,9.5733,4.1081,1.4881,,,TCGA-F2-A7TX-01,9.5174,7.3309,9.8658,11.1066,8.3396,9.2513,7.4061,7.9363
GTEX-13YAN-2126-SM-5Q5C4,4.5286,2.1365,7.1495,11.1838,8.9399,9.1332,3.4843,0,,,TCGA-HZ-7289-01,9.9173,8.9861,9.3019,11.24,8.342,8.8758,5.9311,8.2837
GTEX-11NSD-0526-SM-5A5LT,4.8709,3.2773,6.2684,11.1336,9.0221,9.0171,2.9111,1.6663,,,TCGA-HZ-A49I-01,7.3979,5.6153,8.7949,11.2112,7.9754,8.2453,6.5101,6.0042
GTEX-139YR-1526-SM-5IFJ1,5.6364,4.9483,8.3851,11.3668,8.9738,9.1672,5.5901,3.1476,,,TCGA-HZ-A77P-01,8.4516,7.6924,9.0934,11.1868,7.8015,9.4291,5.976,7.4154
GTEX-PW2O-0826-SM-48TC5,6.6365,5.8216,7.7526,11.1168,9.1155,8.9687,4.4062,3.4727,,,TCGA-IB-A5SP-01,8.7738,6.9466,8.5501,11.5577,8.5177,9.0436,6.7781,6.8003
GTEX-145MO-2126-SM-5Q5CZ,5.7184,0,7.08,10.9739,9.3099,8.8609,0,0,,,TCGA-2L-AAQA-01,9.4946,6.8778,9.5644,11.3251,8.6669,9.0942,8.2426,7.9572
GTEX-PLZ6-0726-SM-3P619,5.9414,3.9685,6.5888,11.6144,8.7329,9.0609,3.789,3.3447,,,TCGA-F2-A8YN-01,8.2122,6.7364,9.3964,11.2137,8.0413,9.036,6.1639,6.8149
