,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-S4Q7-0008-SM-3NM8A,5.4801,2.4926,9.9003,11.7499,7.7237,9.6832,7.0505,1.577,,,TCGA-GN-A4U8-11,9.7353,8.9056,10.2065,11.2743,8.964,9.4933,7.7482,8.2963
GTEX-OIZI-0008-SM-2XCFD,5.274,1.5605,9.4992,10.4969,7.8066,9.3737,7.2396,2.0873,,,TCGA-EB-A41A-01,10.6057,7.1888,10.7594,11.4409,8.5176,10.1747,7.7229,6.7658
GTEX-X4LF-0008-SM-4QAST,6.6154,5.2845,9.3715,11.2834,7.7913,8.8713,6.7056,4.0723,,,TCGA-FR-A726-01,11.5384,9.6426,11.8411,11.0816,8.698,10.8543,9.4832,6.6963
GTEX-VUSG-0008-SM-4KL24,5.3659,0.9865,9.7411,11.8172,7.7848,9.3681,7.0065,1.9797,,,TCGA-BF-AAP1-01,10.1507,8.5691,11.857,12.2701,8.6561,9.506,8.0428,7.6495
GTEX-S95S-0008-SM-4AT5M,5.5543,0,9.1656,11.4312,7.32,9.3321,7.5227,1.0493,,,TCGA-WE-A8K4-01,10.7328,8.2446,10.063,11.0716,6.9698,9.5087,8.3895,7.2348
GTEX-QESD-0008-SM-447B2,6.4958,4.0417,9.8505,11.6034,7.2783,9.2141,6.7876,3.2218,,,TCGA-BF-AAOX-01,11.483,7.4439,10.3902,10.8416,8.0561,9.8025,8.314,6.5569
GTEX-Z93S-0008-SM-4RGM5,5.1688,2.3683,9.2617,11.1855,7.6331,9.0499,6.3825,1.8065,,,TCGA-EB-A430-01,10.5543,8.2731,10.7223,10.9492,8.823,8.7916,8.87,5.7603
GTEX-QEL4-0008-SM-447AZ,6.1727,4.2055,9.3839,11.214,7.645,9.0347,6.7053,1.8815,,,TCGA-EB-A4P0-01,10.0366,6.9299,10.5155,11.9219,7.8241,9.4368,6.8345,4.6985
GTEX-S33H-0008-SM-4AD6C,5.8216,5.2138,9.3709,11.2294,6.9117,9.1734,6.1097,4.143,,,TCGA-XV-A9W2-01,11.6749,9.6609,11.0225,11.0534,8.3349,10.15,7.9617,8.0558
GTEX-U8XE-0008-SM-4E3K4,6.1077,4.0092,9.595,11.0079,7.8724,9.2536,6.4656,4.426,,,TCGA-BF-A1Q0-01,11.6214,9.8165,9.6897,10.6157,9.0815,10.0537,9.6029,9.333
GTEX-XLM4-0008-SM-4AT4W,6.3921,2.7076,9.2872,10.9525,7.8793,8.8551,5.9509,3.7493,,,TCGA-BF-A9VF-01,11.4156,9.3051,11.4068,12.514,7.5788,10.4296,7.8844,4.8512
GTEX-Y8E4-0008-SM-4V6FW,6.9715,5.3058,9.5329,11.3165,7.3284,9.237,6.4286,5.05,,,TCGA-EB-A4IS-01,10.1425,8.9179,10.0596,11.6882,8.5678,9.6605,7.7777,7.9135
GTEX-YB5E-0008-SM-4VDT7,5.6659,2.9209,9.6028,11.2994,7.5984,8.9697,6.8642,1.5251,,,TCGA-ER-A194-01,10.746,7.5517,9.5245,10.9682,5.2248,8.904,6.0898,3.4741
GTEX-WHSB-0008-SM-4M1ZP,5.0392,0,9.6931,11.4309,7.692,9.1971,6.3345,1.644,,,TCGA-GN-A26C-01,9.9868,9.2389,8.9334,10.8187,9.4935,9.4762,7.0275,7.6601
GTEX-UPK5-0008-SM-4IHJD,5.298,1.026,9.6363,11.5175,7.4948,9.179,6.8058,0,,,TCGA-ER-A42H-01,10.5204,8.3815,10.3045,11.6078,8.9012,9.7839,8.297,6.1531
GTEX-Y3I4-0008-SM-4TT21,8.4673,7.8595,9.8932,11.1449,7.4388,8.8956,9.4698,8.294,,,TCGA-EB-A3XC-01,10.4173,8.7118,10.2495,11.6052,6.9426,10.485,9.4398,8.0074
GTEX-Y9LG-0008-SM-4VBRJ,7.4058,5.9198,10.0671,11.2248,7.8336,9.2785,7.5997,5.9702,,,TCGA-DA-A960-01,11.4443,9.0469,10.2472,10.7839,6.2809,9.6259,7.9107,7.7749
GTEX-S3XE-0008-SM-3NM8O,5.3054,1.2954,9.5579,11.5731,7.633,9.4966,6.7634,1.2954,,,TCGA-EB-A5SE-01,9.8198,7.7345,11.5347,11.6719,7.7035,9.9087,8.9133,7.2278
GTEX-ZVTK-0008-SM-57WDA,6.7004,4.0682,9.4429,11.2578,7.4104,9.0496,6.1972,3.7074,,,TCGA-EB-A24D-01,10.0921,8.7865,11.6874,11.1522,9.2396,9.4718,8.3924,6.103
