,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-UPK5-2126-SM-4JBJK,7.5171,4.8594,8.5483,11.292,9.0898,8.941,4.0014,4.9083,,,TCGA-BR-7703-11,8.257,8.1574,8.641,11.5942,8.6027,8.6704,7.22,9.7634
GTEX-14BMV-2226-SM-5RQHX,8.1406,5.3636,8.0021,11.0518,9.5478,8.4378,5.2043,8.3892,,,TCGA-IN-8462-11,8.1389,10.4904,9.2818,11.3507,7.3913,8.9088,8.752,9.1825
GTEX-13O3Q-2126-SM-5KM4C,6.6772,2.9386,8.0279,11.1022,9.1319,9.062,1.8745,1.8745,,,TCGA-FP-7735-11,7.1793,2.5971,8.0652,11.4328,7.4404,9.6481,1.8177,2.1266
GTEX-TKQ2-0926-SM-4DXU5,6.8246,3.7046,8.3369,11.1232,8.0163,9.1915,4.0917,3.7046,,,TCGA-HU-A4GH-11,6.6748,5.1325,8.8014,11.3605,7.7588,9.3734,2.661,3.6684
GTEX-11EI6-2426-SM-5PNVS,6.2972,0,7.1078,10.9606,9.5202,8.9006,1.2701,0,,,TCGA-BR-7851-11,8.7587,9.5822,8.9621,11.1036,8.4893,8.1105,7.5923,9.3781
GTEX-Y8E4-1526-SM-4WWDI,7.6286,5.8649,8.3988,11.2471,8.5542,9.3071,4.4906,7.975,,,TCGA-HU-A4GC-11,6.3894,1.8543,8.4467,11.0889,7.7775,9.2859,1.8543,0
GTEX-WZTO-2126-SM-4PQYW,7.5467,2.0175,7.8434,11.5066,9.3178,9.3918,3.108,2.4785,,,TCGA-IP-7968-11,8.0895,9.0504,9.0477,10.9542,7.4139,8.0265,6.5553,7.7689
GTEX-T5JC-1926-SM-4DM6Q,7.4045,2.622,8.1439,11.1838,9.5019,9.0995,1.4429,1.4429,,,TCGA-CG-5720-11,8.9748,8.8819,8.6903,11.8792,8.1527,8.1539,6.5513,8.9826
GTEX-PLZ6-0826-SM-3P61K,7.1397,3.3869,8.3838,11.6618,8.06,9.8461,1.5321,2.2583,,,TCGA-BR-6457-11,8.0788,8.6526,8.4678,11.4284,8.2877,8.1905,6.2139,7.7858
GTEX-Y3I4-1626-SM-4TT7W,7.5398,6.338,9.1605,11.3221,8.7132,9.0379,4.983,6.8183,,,TCGA-FP-7829-11,7.1054,5.1477,8.3382,11.3205,7.5782,9.115,4.166,4.4807
