samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-XY-A8S2-01,10.6683,9.2105,11.4937,12.1019,9.7713,10.2956,10.5593,8.1685,,,GTEX-11ZUS-2726-SM-5FQUA,10.436,10.4345,9.4311,12.1098,9.173,9.6677,9.8708,7.871
TCGA-YU-A94I-01,10.2042,8.3245,10.9154,11.5024,10.1367,10.7267,9.8829,9.3836,,,GTEX-N7MS-0126-SM-3TW8O,10.6404,10.8381,8.9849,12.2641,8.958,9.8824,10.1533,7.6326
TCGA-2G-AAG3-01,10.6668,9.6184,10.4349,11.1821,9.5779,10.1814,9.1145,7.7896,,,GTEX-ZVZP-2226-SM-57WBF,9.9616,10.3484,9.2565,11.9022,9.3404,9.9903,9.6141,7.9011
TCGA-XE-AANV-01,10.7917,10.748,10.0003,11.265,8.5204,10.9241,8.585,7.4699,,,GTEX-13112-0226-SM-5P9IV,11.0295,10.768,8.8718,12.1608,9.6598,9.9935,9.5963,7.7436
TCGA-2G-AAGM-01,11.2224,10.1493,10.4617,11.8875,10.3906,10.6971,10.6472,9.0492,,,GTEX-12WSH-0326-SM-5GCNH,9.5588,9.8074,9.375,12.0456,9.373,9.4616,9.9269,6.9587
TCGA-XE-AAOF-01,10.5007,9.9237,10.3974,11.6668,9.454,10.2373,8.5487,8.2676,,,GTEX-139TS-1726-SM-5IJG5,10.3126,9.8781,8.7541,11.9511,8.9244,9.6503,8.7018,7.8944
TCGA-ZM-AA0H-01,10.1241,9.1842,10.3354,11.6784,8.8188,10.2341,7.1825,5.7101,,,GTEX-S95S-1126-SM-4B64E,10.3933,10.42,8.8944,12.2834,8.758,9.7185,9.3686,7.1552
TCGA-2X-A9D5-01,11.4312,10.2329,10.178,11.3414,9.4293,10.5661,9.3855,7.8668,,,GTEX-13OVL-0426-SM-5IFG6,10.1164,10.2349,9.1298,11.8122,9.1541,9.6895,9.7152,8.1679
TCGA-2G-AAHA-01,10.6696,10.0276,10.3455,11.6031,7.9121,10.4321,8.5946,8.5109,,,GTEX-WVLH-2626-SM-4MVNV,10.5913,9.9143,9.1282,12.0736,9.327,10.3316,8.3359,7.3241
TCGA-XE-AAO6-01,10.6923,10.0863,10.6812,11.6569,9.2053,10.1634,9.4424,7.2997,,,GTEX-11WQC-2326-SM-5EQKE,10.1748,10.7916,9.1163,12.0569,9.5279,9.5068,10.9218,7.9095
TCGA-2G-AAH8-01,11.1716,9.8633,10.3015,11.2235,9.4687,10.9832,9.8837,8.746,,,GTEX-OOBK-2126-SM-3LK5T,10.0284,9.8782,8.9766,12.0742,8.795,9.6536,9.3136,7.4923
TCGA-YU-A90W-01,11.5249,10.1082,10.3102,11.8831,9.5473,10.4221,9.4631,8.3575,,,GTEX-11NV4-1726-SM-5N9FC,10.3126,10.5328,9.4874,12.0967,9.0016,9.6802,10.1353,8.2802
TCGA-ZM-AA06-01,11.5636,10.2479,10.2444,12.8074,8.8789,10.9847,6.9672,5.8568,,,GTEX-1212Z-0326-SM-5FQSJ,10.5308,10.298,9.3366,11.8948,9.362,10.3309,9.2089,7.9839
TCGA-2G-AALP-01,11.4811,8.6793,10.7601,12.4814,9.9426,10.657,10.0796,8.8414,,,GTEX-OXRL-2126-SM-3NM98,10.0517,9.9656,9.2552,11.8052,9.4085,9.9889,8.8842,8.0481
TCGA-2X-A9D6-01,10.6755,10.6831,10.8289,11.6324,8.7199,11.1767,9.1031,8.183,,,GTEX-OOBJ-2126-SM-3NB1N,10.3461,10.0902,8.9329,11.9232,9.0527,10.1986,8.5564,7.6511
TCGA-2G-AAFI-01,10.6459,9.4716,10.5596,13.2393,9.3018,10.6477,10.1705,8.9719,,,GTEX-13G51-0826-SM-5K7VB,7.5897,4.2033,8.3599,11.3656,9.2822,9.2382,2.9943,3.3634
TCGA-2G-AAGN-01,11.2662,9.7603,10.7645,12.7128,9.5517,10.0274,9.8517,7.7467,,,GTEX-T6MN-2026-SM-4DM7L,10.0721,10.5624,8.9859,12.0225,9.1368,9.7942,9.5286,7.606
